number,title,link,source_id,published_at,state,transcript_source,discovered_at
33,LNP033 Hallo Steffi,https://logbuch-netzpolitik.de/lnp033-hallo-steffi,193,2012-08-09T13:53:01+02:00,done,podlove,2026-06-14T00:32:53+00:00
34,LNP034 Julio Assanchez,https://logbuch-netzpolitik.de/lnp034-julio-assanchez,191,2012-08-17T12:08:47+02:00,done,podlove,2026-06-14T00:32:53+00:00
35,LNP035 Ehrenamtlicher Internet-Mitarbeiter,https://logbuch-netzpolitik.de/lnp035-ehrenamtlicher-internet-mitarbeiter,189,2012-08-30T13:58:04+02:00,done,podlove,2026-06-14T00:32:53+00:00
36,LNP036 Unbegrenzt [1],https://logbuch-netzpolitik.de/lnp036-unbegrenzt-1,185,2012-09-09T12:29:52+02:00,done,podlove,2026-06-14T00:32:53+00:00
37,LNP037 Rohrkrepierer des Jahres,https://logbuch-netzpolitik.de/lnp037-rohrkrepierer-des-jahres,183,2012-09-14T14:48:49+02:00,done,podlove,2026-06-14T00:32:53+00:00
38,LNP038 Potenzielle Ehrverletzung,https://logbuch-netzpolitik.de/lnp038-potenzielle-ehrverletzung,181,2012-09-21T13:01:19+02:00,done,podlove,2026-06-14T00:32:53+00:00
39,LNP039 Die nach oben offene Meister-Skala für Grundrechtseinschränkungen,https://logbuch-netzpolitik.de/lnp039-meisterskala-fuer-grundrechtseinschraenkungen,179,2012-09-26T15:00:12+02:00,done,podlove,2026-06-14T00:32:53+00:00
40,LNP040 Realitätsanpassungsgesetz,https://logbuch-netzpolitik.de/lnp040-realitaetsanpassungsgesetz,176,2012-10-05T13:37:29+02:00,done,podlove,2026-06-14T00:32:53+00:00
41,LNP041 Datenspuren Spezial: Netzneutralität,https://logbuch-netzpolitik.de/lnp041-datenspuren-spezial-netzneutralitaet,173,2012-10-15T16:17:07+02:00,done,podlove,2026-06-14T00:32:53+00:00
42,LNP042 Kann Spuren von Wahrheit enthalten,https://logbuch-netzpolitik.de/lnp042-kann-spuren-von-wahrheit-enthalten,171,2012-10-18T15:28:19+02:00,no_transcript,podlove,2026-06-14T00:32:53+00:00
43,LNP043 Leichenschutzrecht,https://logbuch-netzpolitik.de/lnp043-leichenschutzrecht,162,2012-11-04T01:48:11+01:00,done,podlove,2026-06-14T00:32:53+00:00
44,LNP044 Schlangenkuchen,https://logbuch-netzpolitik.de/lnp044-schlangenkuchen,161,2012-11-13T13:38:58+01:00,done,podlove,2026-06-14T00:32:53+00:00
