number,title,link,source_id,published_at,state,transcript_source,discovered_at
28,"Premier League, what's up? (17. Spieltag)",https://audio.podigee-cdn.net/61811-m-32992f396e5a9bae649ee1b39d491927.m4a?source=feed,1000426126398,2018-12-19T12:51:31Z,done,apple,2026-06-14T09:25:57+00:00
29,The Anfield Wrap über Liverpools Höhenflug,https://audio.podigee-cdn.net/64790-m-10538c547d9b8545bcb2da78cebc6e47.m4a?source=feed,1000427452793,2019-01-11T13:31:28Z,done,apple,2026-06-14T09:25:57+00:00
30,"La Liga, qué pasa? (20. Spieltag)",https://audio.podigee-cdn.net/68026-m-6b648c4248b62d36c2613fbffcbc7946.m4a?source=feed,1000428446912,2019-01-25T11:34:18Z,done,apple,2026-06-14T09:25:57+00:00
31,"Serie A, cosa succede in Italia? (#21)",https://audio.podigee-cdn.net/69233-m-e061d0373cd780cda6d593fd349139f3.m4a?source=feed,1000428896973,2019-01-31T22:47:13Z,done,apple,2026-06-14T09:25:57+00:00
32,"Premier League, what's up? (25. Spieltag)",https://audio.podigee-cdn.net/70757-m-c559e684e3a3155909c35ebb6bc8918c.m4a?source=feed,1000429459134,2019-02-08T13:07:42Z,done,apple,2026-06-14T09:25:57+00:00
33,"Ligue 1, quoi de neuf? (#24)",https://audio.podigee-cdn.net/71329-m-2f756f7964ac69e5a6a3e263118caee7.m4a?source=feed,1000429697740,2019-02-12T10:22:38Z,done,apple,2026-06-14T09:25:57+00:00
34,Die größten Talente des Weltfußballs,https://audio.podigee-cdn.net/71578-m-4802a814b0d6a7e4e771f38cdd1a3c6f.m4a?source=feed,1000429841097,2019-02-14T08:07:52Z,done,apple,2026-06-14T09:25:57+00:00
35,"La Liga, qué pasa? (25. Spieltag)",https://audio.podigee-cdn.net/74895-m-bbba1e53da584905779c0be3b286d34b.m4a?source=feed,1000430788840,2019-02-28T10:27:49Z,done,apple,2026-06-14T09:25:57+00:00
36,"Primeira Liga, como estás?",https://audio.podigee-cdn.net/76580-m-ee50dabab767ec2fd781fb2446a4282d.m4a?source=feed,1000431323746,2019-03-07T21:36:16Z,done,apple,2026-06-14T09:25:57+00:00
37,"Eredivisie, hoe gaat het? (26. Spieltag)",https://audio.podigee-cdn.net/81023-m-ce7928fa4eeb14ef7622874bff9e3cf6.m4a?source=feed,1000433742305,2019-03-29T11:20:44Z,done,apple,2026-06-14T09:25:57+00:00
38,"2. Bundesliga, was geht? (30. Spieltag)",https://audio.podigee-cdn.net/86443-m-a01211acb6301056bb9aee9e5e656c79.m4a?source=feed,1000436129841,2019-04-23T06:47:46Z,done,apple,2026-06-14T09:25:57+00:00
39,"Serie A, cosa succede in Italia? (#34)",https://audio.podigee-cdn.net/88603-m-39aeaf35b7839489534438fb703b8639.m4a?source=feed,1000437046149,2019-05-02T09:15:22Z,done,apple,2026-06-14T09:25:57+00:00
40,"2. Bundesliga, was geht? (31. Spieltag)",https://audio.podigee-cdn.net/88782-m-b4472200d0a1164d467a00265dd802cf.m4a?source=feed,1000437086073,2019-05-02T20:24:04Z,done,apple,2026-06-14T09:25:57+00:00
41,"2. Bundesliga, was geht? (32. Spieltag)",https://audio.podigee-cdn.net/89719-m-b974c29b302e5f3f37f5254fae96576d.m4a?source=feed,1000437499995,2019-05-08T08:14:41Z,done,apple,2026-06-14T09:25:57+00:00
42,"Premier League, what's up? (Saisonbilanz)",https://audio.podigee-cdn.net/90760-m-b915392d281df5de9272da499807925c.m4a?source=feed,1000437963958,2019-05-13T09:17:28Z,no_transcript,apple,2026-06-14T09:25:57+00:00
43,"2. Bundesliga, was geht? (33. Spieltag)",https://audio.podigee-cdn.net/91035-m-dc07824efad965e85e1be68355a2fa43.m4a?source=feed,1000437999775,2019-05-13T17:11:30Z,done,apple,2026-06-14T09:25:57+00:00
