word,is_stop,264,265,266,268,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293
abgestürmt,False,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
abgesägt,False,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,
abgewälzt,False,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
abgeändert,False,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
abgleich,False,,,,,,,,,,,1.0,,,,,,,1.0,,,2.0,,,,,,,
abgleichen,False,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
abgrasen,False,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,
abgreifen,False,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,
abgrenzen,False,,,,,,,,2.0,,,,,,,,,,,,,4.0,,,,,,,
abgrenzung,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
abgrenzungstendenz,False,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
abgrund,False,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
abgründ,False,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
abgucken,False,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
abhacken,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
abhaken,False,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
abhalten,False,,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0
abhanden,False,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
abhangen,False,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,
abhebelimits,False,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
abheben,False,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
abheft,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
abholen,False,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
abhängen,False,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
abhängig,False,1.0,,,1.0,,,,,7.0,,,,1.0,,,1.0,,,,,,,,,1.0,,,
abhängigkeit,False,,,,,,,,,1.0,,,,,,,,,,,,,6.0,,,,,,
abhören,False,,,,,7.0,3.0,1.0,,3.0,,,,,,2.0,,,,,,,,,,,1.0,,
abhörmaßnahme,False,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
ability,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
