number,title,link,source_id,published_at,state,transcript_source,discovered_at
34,ALT034: mit Rop Gonggrijp über die Gesamtsituation,https://alternativlos.cdn.as250.net/alternativlos-34.mp3,1000670184850,2015-09-06T18:00:00Z,done,apple,2026-06-16T10:35:17+00:00
35,ALT035: über die Facebook-Löschdebatte und Diskurskultur im Internet,https://alternativlos.cdn.as250.net/alternativlos-35.mp3,1000670184639,2015-09-13T18:00:00Z,done,apple,2026-06-16T10:35:17+00:00
36,ALT036: zu Besuch beim Wendelstein 7-X,https://alternativlos.cdn.as250.net/alternativlos-36.mp3,1000670184822,2016-04-19T18:00:00Z,done,apple,2026-06-16T10:35:17+00:00
37,ALT037: über die unrealistischer werdende Realität,https://alternativlos.cdn.as250.net/alternativlos-37.mp3,1000670184689,2016-10-22T10:00:00Z,done,apple,2026-06-16T10:35:17+00:00
38,ALT038: über das Leben mit und nach der Trump-Apokalypse,https://alternativlos.cdn.as250.net/alternativlos-38.mp3,1000670184656,2016-12-04T14:39:48Z,done,apple,2026-06-16T10:35:17+00:00
39,"ALT039: über Wannacry, Ransomware und Patches",https://alternativlos.cdn.as250.net/alternativlos-39.mp3,1000670184655,2017-05-17T08:00:00Z,done,apple,2026-06-16T10:35:17+00:00
40,ALT040: mit Andrej Holm über Stadtentwicklung und Gentrifizierung,https://alternativlos.cdn.as250.net/alternativlos-40.mp3,1000670184638,2017-05-29T08:00:00Z,done,apple,2026-06-16T10:35:17+00:00
41,"ALT041: über Kryptowährungen, künstliche Intelligenz, Verantwortung und die Weltlage",https://alternativlos.cdn.as250.net/alternativlos-41.mp3,1000670184767,2017-12-20T08:00:00Z,done,apple,2026-06-16T10:35:17+00:00
42,"ALT042: mit Joscha Bach über life, the universe and everything",https://alternativlos.cdn.as250.net/alternativlos-42.mp3,1000670184637,2018-09-10T18:00:00Z,done,apple,2026-06-16T10:35:17+00:00
43,ALT043: entspannte Sommersendung,https://alternativlos.cdn.as250.net/alternativlos-43.mp3,1000670184794,2019-08-07T10:00:00Z,done,apple,2026-06-16T10:35:17+00:00
44,ALT044: Was der freie Zugang zum Weltwissen mit uns anstellt,https://alternativlos.cdn.as250.net/alternativlos-44.mp3,1000670184821,2019-12-21T17:00:00Z,done,apple,2026-06-16T10:35:17+00:00
45,ALT045: Krisen und ihre Bewältung,https://alternativlos.cdn.as250.net/alternativlos-45.mp3,1000670184766,2020-02-29T23:59:59Z,done,apple,2026-06-16T10:35:17+00:00
46,ALT046: mit Christiane Hütter und Rop Gonggrijp über Covid-19 und Quarantäne-Bewältigung,https://alternativlos.cdn.as250.net/alternativlos-46.mp3,1000670184765,2020-04-14T09:40:00Z,done,apple,2026-06-16T10:35:17+00:00
47,ALT047: über Covid-19-Verschwörungstheorien,https://alternativlos.cdn.as250.net/alternativlos-47.mp3,1000670184636,2020-05-24T20:00:00Z,done,apple,2026-06-16T10:35:17+00:00
48,"ALT048: über Cyberpunk, Vertrauen in den Staat und die MegaCorps",https://alternativlos.cdn.as250.net/alternativlos-48.mp3,1000670184687,2020-12-28T20:00:00Z,done,apple,2026-06-16T10:35:17+00:00
49,ALT049: über die Rolle des Staates in der Gesellschaft und über Statistik,https://alternativlos.cdn.as250.net/alternativlos-49.mp3,1000670184764,2021-12-05T20:00:00Z,done,apple,2026-06-16T10:35:17+00:00
50,ALT050: über die ganzen Katastrophen vom Ukraine bis Supply Chains,https://alternativlos.cdn.as250.net/alternativlos-50.mp3,1000670184688,2022-08-13T20:00:00Z,done,apple,2026-06-16T10:35:17+00:00
51,ALT051: nochmal in Greifswald beim Wendelstein 7-X,https://alternativlos.cdn.as250.net/alternativlos-51.mp3,1000670184635,2023-05-22T18:00:00Z,done,apple,2026-06-16T10:35:17+00:00
52,ALT052: mit Joscha Bach über künstliche Intelligenz,https://alternativlos.cdn.as250.net/alternativlos-52.mp3,1000670184592,2023-12-04T10:00:00Z,no_transcript,apple,2026-06-16T10:35:17+00:00
53,ALT053: lauschige Sommersendung,https://alternativlos.cdn.as250.net/alternativlos-53.mp3,1000670184654,2024-07-07T16:00:00Z,done,apple,2026-06-16T10:35:17+00:00
